,Diplome,Entreprise,Experience,Technologies,Ville,Metier
7733,no diploma,Accenture,2.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Marseille,1
7632,master,Universities Space Research Association,1.0,"['C', 'C++', 'Java', 'Python']",Nantes,2
6283,phd,Ball Aerospace,2.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Grenoble,2
2165,phd,Partners HealthCare(PHS),2.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Toulouse,2
687,msc,xentity corporation,5.0,"['Python', 'Spark', 'GNU', 'Linux']",Marseille,1
7566,master,VHB,1.0,"['Python', 'Tensorflow', 'R', 'Big data']",Marseille,2
1888,phd,Ball Aerospace,1.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Marseille,2
6200,bachelor,Manulife,4.0,"['Java', 'Linux', 'GNU', 'Docker']",Nantes,1
4492,master,Bank of America,1.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Paris,2
3424,phd,Ball Aerospace,1.0,"['VBA', 'Python', 'Excel', 'R']",Marseille,3
3709,msc,Brigham & Women's Hospital(BWH),1.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Paris,1
785,master,Invicro,4.0,"['Java', 'Linux', 'GNU', 'Docker']",Paris,1
6896,master,Ball Aerospace,1.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Lyon,2
7332,msc,Ball Aerospace,4.0,"['Spark', 'Python']",Lyon,0
1142,bachelor,Arm,8.0,"['Excel', 'VBA', 'R']",Strasbourg,3
2932,msc,Acadian Asset,3.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Marseille,3
9332,phd,Sanofi,2.0,"['Matlab', 'Python', 'Pyspark', 'Scikit-learn', 'Tensorflow']",Paris,2
7917,master,Darwin Recruitment,0.0,"['Cassandra', 'MongoDB', 'NoSQL', 'AWS']",Toulouse,0
4250,master,ICF,3.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Lille,3
8649,master,Georgia Tech Research Institute,0.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Rouen,2
3456,master,National Instruments,0.0,"['Python', 'Tensorflow', 'R', 'Big data']",Paris,2
8853,master,Ball Aerospace,4.0,"['Python', 'Spark', 'GNU', 'Linux']",Paris,1
6860,master,Ball Aerospace,6.0,"['Java', 'C', 'C++', 'R', 'Python']",Paris,2
1737,phd,AXIS Insurance,2.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Marseille,2
409,master,Georgia Tech Research Institute,1.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Grenoble,2
930,bachelor,Shirley Ryan Ability Lab,1.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Marseille,2
5242,msc,Clockwork Solutions,3.0,"['VBA', 'Python', 'Excel', 'R']",Lyon,3
3699,master,Burns & McDonnell,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Paris,2
874,no diploma,KPMG,3.0,"['Python', 'Java', 'Scala', 'MongoDB']",Paris,0
4612,master,"ArcherDX, INC.",2.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Bordeaux,2
949,phd,NXP Semiconductors,0.0,"['Python', 'Spark', 'GNU', 'Linux']",Paris,1
9250,no diploma,Jacobs,1.0,"['MongoDB', 'SQL', 'Docker']",Paris,0
6156,master,Alnylam,3.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lyon,2
2065,bachelor,Northwestern University,1.0,"['MongoDB', 'SQL', 'Docker']",Paris,0
6092,master,Centers for Disease Control and Prevention,2.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Rennes,1
2658,master,Vertex,0.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Rouen,0
6820,bachelor,Ball Aerospace,2.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Bordeaux,0
3160,master,Ball Aerospace,1.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Bordeaux,3
4947,no diploma,Commonwealth Sciences,0.0,"['Python', 'Spark', 'Hive', 'Hadoop']",Lyon,0
5292,phd,Courtney Raymond Consultants,2.0,"['Python', 'Tensorflow', 'R', 'Big data']",Montpellier,2
1442,master,Capgemini,2.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Marseille,2
4575,phd,"Carters, Inc",7.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lyon,2
83,no diploma,Gallup,2.0,"['Java', 'Linux', 'Docker']",Paris,0
311,phd,Burson-Marsteller,7.0,"['Python', 'AWS', 'Docker']",Lyon,0
8245,no diploma,Vertex,1.0,"['Cassandra', 'MongoDB', 'NoSQL', 'AWS']",Toulouse,0
6700,master,Lumere,2.0,"['Python', 'Java', 'Linux', 'GNU']",Lyon,1
65,no diploma,JUUL Labs,2.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Paris,3
4101,no diploma,ANALYTICA,5.0,"['Java', 'Python', 'Linux']",Paris,0
8926,phd,Ball Aerospace,7.0,"['VBA', 'Python', 'Excel', 'R']",Lyon,2
6551,phd,Ball Aerospace,2.0,"['SQL', 'R', 'Python', '', 'Big data']",Bordeaux,2
1914,master,Ball Aerospace,3.0,"['Matlab', 'Python', 'Pyspark', 'Scikit-learn', 'Tensorflow']",Nantes,3
3858,master,Tempus,1.0,"['Cassandra', 'MongoDB', 'NoSQL', 'AWS']",Rouen,0
5595,phd,Zylotech,6.0,"['SQL', 'R', 'Python', '', 'Big data']",Lyon,2
